year,mes_nom,categoria,viajeros
2016,Abril,1 y 2*,39697
2016,Abril,3*,35782
2016,Abril,4*,62525
2016,Abril,5*,18981
2016,Abril,Apart,19634
2016,Abril,Hostel,3860
2016,Abril,Hotel Bou,8671
2016,Abril,Para Hoteles,31664
2016,Agosto,1 y 2*,41457
2016,Agosto,3*,40779
2016,Agosto,4*,72167
2016,Agosto,5*,20093
2016,Agosto,Apart,22107
2016,Agosto,Hostel,4205
2016,Agosto,Hotel Bou,10194
2016,Agosto,Para Hoteles,27164
2016,Diciembre,1 y 2*,35427
2016,Diciembre,3*,34187
2016,Diciembre,4*,59173
2016,Diciembre,5*,20063
2016,Diciembre,Apart,17926
2016,Diciembre,Hostel,3517
2016,Diciembre,Hotel Bou,8540
2016,Diciembre,Para Hoteles,27288
2016,Enero,1 y 2*,30798
2016,Enero,3*,29128
2016,Enero,4*,44762
2016,Enero,5*,15871
2016,Enero,Apart,16874
2016,Enero,Hostel,3470
2016,Enero,Hotel Bou,6901
2016,Enero,Para Hoteles,30663
2016,Febrero,1 y 2*,27515
2016,Febrero,3*,30055
2016,Febrero,4*,50302
2016,Febrero,5*,21241
2016,Febrero,Apart,16712
2016,Febrero,Hostel,4078
2016,Febrero,Hotel Bou,8179
2016,Febrero,Para Hoteles,29401
2016,Julio,1 y 2*,41754
2016,Julio,3*,49656
2016,Julio,4*,83959
2016,Julio,5*,23404
2016,Julio,Apart,25578
2016,Julio,Hostel,5403
2016,Julio,Hotel Bou,12723
2016,Julio,Para Hoteles,30969
2016,Junio,1 y 2*,35193
2016,Junio,3*,34714
2016,Junio,4*,68092
2016,Junio,5*,17337
2016,Junio,Apart,20942
2016,Junio,Hostel,4070
2016,Junio,Hotel Bou,9964
2016,Junio,Para Hoteles,26933
2016,Marzo,1 y 2*,39081
2016,Marzo,3*,38674
2016,Marzo,4*,63333
2016,Marzo,5*,19355
2016,Marzo,Apart,20208
2016,Marzo,Hostel,4421
2016,Marzo,Hotel Bou,8727
2016,Marzo,Para Hoteles,32447
2016,Mayo,1 y 2*,41207
2016,Mayo,3*,34947
2016,Mayo,4*,67105
2016,Mayo,5*,16194
2016,Mayo,Apart,19315
2016,Mayo,Hostel,4010
2016,Mayo,Hotel Bou,9654
2016,Mayo,Para Hoteles,31463
2016,Noviembre,1 y 2*,42343
2016,Noviembre,3*,44152
2016,Noviembre,4*,75491
2016,Noviembre,5*,23900
2016,Noviembre,Apart,23514
2016,Noviembre,Hostel,4225
2016,Noviembre,Hotel Bou,11855
2016,Noviembre,Para Hoteles,29993
2016,Octubre,1 y 2*,48636
2016,Octubre,3*,43593
2016,Octubre,4*,75054
2016,Octubre,5*,22410
2016,Octubre,Apart,22166
2016,Octubre,Hostel,4260
